# Data Source: Blockchain.com Public Charts API (https://www.blockchain.com/explorer/charts)
Date,Miner Revenue (USD)
2016-09-16,
2016-09-17,1266257.82710608
2016-09-18,
2016-09-19,
2016-09-20,
2016-09-21,1270877.51763904
2016-09-22,
2016-09-23,
2016-09-24,
2016-09-25,1430506.21156199
2016-09-26,
2016-09-27,
2016-09-28,
2016-09-29,1121004.32180228
2016-10-01,
2016-10-03,1206848.12820648
2016-10-05,
2016-10-07,1140029.908164
2016-10-09,
2016-10-11,1145287.98184433
2016-10-13,
2016-10-15,1173084.48254233
2016-10-17,
2016-10-18,
2016-10-19,1025580.94892297
2016-10-20,
2016-10-21,
2016-10-22,
2016-10-23,1238346.54510843
2016-10-24,
2016-10-25,
2016-10-26,
2016-10-27,1472099.83342669
2016-10-28,
2016-10-29,
2016-10-30,
2016-10-31,1356064.41434344
2016-11-01,
2016-11-02,
2016-11-03,
2016-11-04,1069025.79055043
2016-11-06,
2016-11-08,1552167.96521807
2016-11-10,
2016-11-12,1553329.97702898
2016-11-14,
2016-11-16,1610431.45475799
2016-11-18,
2016-11-20,1238419.33684534
2016-11-22,
2016-11-23,
2016-11-24,1627500.36901964
2016-11-25,
2016-11-26,
2016-11-27,
2016-11-28,1597296.21486173
2016-11-29,
2016-11-30,
2016-12-01,
2016-12-02,1466287.62234334
2016-12-03,
2016-12-04,
2016-12-05,
2016-12-06,1505792.02940228
2016-12-07,
2016-12-08,
2016-12-10,1343110.88425076
2016-12-12,
2016-12-14,1423000.53395811
2016-12-16,
2016-12-18,1552267.90632871
2016-12-20,
2016-12-22,1862227.14911738
2016-12-24,
2016-12-26,1683253.41220312
2016-12-27,
2016-12-28,
2016-12-29,
2016-12-30,1988622.5339292
2016-12-31,
2017-01-01,
2017-01-02,
2017-01-03,2245225.0916189
2017-01-04,
2017-01-05,
2017-01-06,
2017-01-07,1591509.29207556
2017-01-08,
2017-01-09,
2017-01-10,
2017-01-11,1724412.85485079
2017-01-13,
2017-01-15,1759094.94140748
2017-01-17,
2017-01-19,2054585.92331712
2017-01-21,
2017-01-23,1683925.09571495
2017-01-25,
2017-01-27,2050038.68072294
2017-01-29,
2017-01-30,
2017-01-31,1941511.11537906
2017-02-01,
2017-02-02,
2017-02-03,
2017-02-04,1975355.92149189
2017-02-05,
2017-02-06,
2017-02-07,
