Date,Index,Open,High,Low,Close,Adj Close,Volume,CloseUSD,Currency
2020-03-16,HSI,23317.810546875,23631.529296875,22842.25,23063.5703125,23063.5703125,4067029300.0,23063.5703125,USD
2020-03-17,HSI,23001.759765625,23401.19921875,22676.4609375,23263.73046875,23263.73046875,3637973700.0,23263.73046875,USD
2020-03-18,HSI,23023.33984375,23425.029296875,22167.419921875,22291.8203125,22291.8203125,4217153600.0,22291.8203125,USD
2020-03-19,HSI,22221.380859375,22380.33984375,21139.259765625,21709.130859375,21709.130859375,5628397600.0,21709.130859375,USD
2020-03-20,HSI,22147.33984375,22805.0703125,22147.33984375,22805.0703125,22805.0703125,4528187900.0,22805.0703125,USD
2020-03-23,HSI,21696.130859375,21696.130859375,21696.130859375,21696.130859375,21696.130859375,0.0,21696.130859375,USD
2020-03-24,HSI,22497.5703125,22753.009765625,22383.25,22663.490234375,22663.490234375,3614066700.0,22663.490234375,USD
2020-03-25,HSI,23255.91015625,23569.44921875,23062.23046875,23527.189453125,23527.189453125,3605374900.0,23527.189453125,USD
2020-03-26,HSI,23604.830078125,23604.830078125,23163.669921875,23352.33984375,23352.33984375,2519508100.0,23352.33984375,USD
2020-03-27,HSI,23768.41015625,23791.19921875,23354.009765625,23484.279296875,23484.279296875,2199674300.0,23484.279296875,USD
