Index,Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
399001.SZ,2020-05-21,10999.0703125,11007.1396484375,10818.7900390625,10845.400390625,10845.400390625,1365000.0,
399001.SZ,2020-05-22,10832.91015625,10832.91015625,10559.2998046875,10604.9697265625,10604.9697265625,1273400.0,
399001.SZ,2020-05-25,10602.4697265625,10629.6103515625,10532.8603515625,10592.83984375,10592.83984375,980400.0,
399001.SZ,2020-05-26,10655.98046875,10816.7099609375,10647.25,10815.4296875,10815.4296875,1065600.0,
399001.SZ,2020-05-27,10823.240234375,10823.240234375,10657.8095703125,10682.7001953125,10682.7001953125,1129900.0,
399001.SZ,2020-05-28,10680.8701171875,10727.990234375,10505.7900390625,10653.490234375,10653.490234375,1156400.0,
399001.SZ,2020-05-29,10615.1396484375,10764.8701171875,10588.740234375,10746.080078125,10746.080078125,1210300.0,
399001.SZ,2020-06-01,10837.490234375,11123.1904296875,10837.490234375,11102.150390625,11102.150390625,1744300.0,
399001.SZ,2020-06-02,11133.6201171875,11146.849609375,11059.1904296875,11112.5,11112.5,1908300.0,
399001.SZ,2020-06-03,11154.6396484375,11204.51953125,11100.6904296875,11108.3603515625,11108.3603515625,1847200.0,
399001.SZ,2020-06-04,11146.2900390625,11165.1396484375,11080.509765625,11139.259765625,11139.259765625,1479200.0,
399001.SZ,2020-06-05,11153.26953125,11180.599609375,11087.25,11180.599609375,11180.599609375,1361300.0,
399001.SZ,2020-06-08,11266.9296875,11340.0302734375,11195.849609375,11215.759765625,11215.759765625,1603200.0,
399001.SZ,2020-06-09,11238.4404296875,11303.5400390625,11195.0,11284.240234375,11284.240234375,1426600.0,
399001.SZ,2020-06-10,11296.1298828125,11338.240234375,11249.4296875,11335.8603515625,11335.8603515625,1381900.0,
399001.SZ,2020-06-11,11328.099609375,11405.009765625,11180.75,11243.6201171875,11243.6201171875,1582200.0,
399001.SZ,2020-06-12,11017.150390625,11306.1396484375,11003.3203125,11251.7099609375,11251.7099609375,1552800.0,
399001.SZ,2020-06-15,11241.259765625,11353.16015625,11192.26953125,11192.26953125,11192.26953125,1689200.0,
399001.SZ,2020-06-16,11312.8095703125,11398.9697265625,11293.900390625,11398.9697265625,11398.9697265625,1528000.0,
399001.SZ,2020-06-17,11421.0302734375,11421.0302734375,11330.3701171875,11420.83984375,11420.83984375,1563000.0,
399001.SZ,2020-06-18,11416.080078125,11503.3798828125,11397.5703125,11494.5498046875,11494.5498046875,1735900.0,
399001.SZ,2020-06-19,11505.6904296875,11694.8896484375,11500.5302734375,11668.1298828125,11668.1298828125,1643900.0,
399001.SZ,2020-06-22,11680.41015625,11756.8603515625,11658.8095703125,11702.4404296875,11702.4404296875,1746900.0,
399001.SZ,2020-06-23,11711.2802734375,11796.41015625,11651.830078125,11794.009765625,11794.009765625,1582600.0,
399001.SZ,2020-06-24,11813.3603515625,11854.990234375,11760.4697265625,11813.5302734375,11813.5302734375,1425100.0,
399001.SZ,2020-06-29,11780.650390625,11814.6396484375,11695.4501953125,11752.3603515625,11752.3603515625,1495700.0,
399001.SZ,2020-06-30,11828.5302734375,12013.599609375,11827.759765625,11992.349609375,11992.349609375,1509600.0,
399001.SZ,2020-07-01,12024.83984375,12130.2998046875,11945.8896484375,12112.9599609375,12112.9599609375,1819600.0,
399001.SZ,2020-07-02,12095.849609375,12278.830078125,12055.9501953125,12269.490234375,12269.490234375,2386700.0,
399001.SZ,2020-07-03,12295.6201171875,12433.6796875,12232.7001953125,12433.259765625,12433.259765625,2558700.0,
399001.SZ,2020-07-06,12519.5,12945.7099609375,12519.5,12941.7197265625,12941.7197265625,3341900.0,
399001.SZ,2020-07-07,13084.650390625,13407.1904296875,12997.169921875,13163.98046875,13163.98046875,3635400.0,
399001.SZ,2020-07-08,13170.2001953125,13428.9404296875,13059.240234375,13406.3701171875,13406.3701171875,3144100.0,
399001.SZ,2020-07-09,13399.4697265625,13792.6298828125,13385.4296875,13754.740234375,13754.740234375,3517800.0,
399001.SZ,2020-07-10,13662.3798828125,13831.6103515625,13599.0302734375,13671.240234375,13671.240234375,3203400.0,
399001.SZ,2020-07-13,13699.2197265625,14149.1396484375,13699.2197265625,14149.1396484375,14149.1396484375,3305000.0,
