,Gold/BTC Ratio,S2F Model,Onchain Mining Difficulty,BTC/USD
2015-09-08,0.6623745525163481,6.461626752587274e-05,0.0001477810550276,0.0006181479057306
2015-09-09,0.6665180081771735,6.488649652579406e-05,0.0001477810550276,0.0005668212126331
2015-09-10,0.6700822950559121,6.518450852154695e-05,0.0001477810550276,0.0005697372369336
2015-09-11,0.6618904093856552,6.55057636213197e-05,0.0001477810550276,0.0005851191175249
2015-09-12,0.6718708330042464,6.578472504686748e-05,0.0001477810550276,0.0005390865111111
2015-09-13,0.6818512566228376,6.605804740814894e-05,0.0001477810550276,0.0004945730423384
2015-09-14,0.6918316802414289,6.634740629338513e-05,0.0001477810550276,0.0004958187352041
2015-09-15,0.6897775408204332,6.664438665279922e-05,0.0001477810550276,0.0004926102589084
2015-09-16,0.703814926961893,6.693312412864343e-05,0.0001477810550276,0.000481163448787
2015-09-17,0.7004045212286206,6.72059669967563e-05,0.0001585485376223,0.0004879484502704
2015-09-18,0.70376839755608,6.748401472461175e-05,0.0001693160202169,0.0005178159922417
2015-09-19,0.7088214636727755,6.774488003271132e-05,0.0001693160202169,0.0005038305663276
2015-09-20,0.713874529789471,6.799005617703533e-05,0.0001693160202169,0.0005011789151748
2015-09-21,0.7189275959061664,6.823644652156902e-05,0.0001693160202169,0.0004622332658495
2015-09-22,0.7027726778257177,6.85150724508267e-05,0.0001693160202169,0.0004955733692761
2015-09-23,0.7079503565063088,6.88168545843766e-05,0.0001693160202169,0.0004924121230417
2015-09-24,0.7087748728201501,6.909926378473606e-05,0.0001693160202169,0.0005324807822687
2015-09-25,0.7021083908558386,6.939597149467158e-05,0.0001693160202169,0.0005382843200401
2015-09-26,0.6953499188439369,6.969616253883851e-05,0.0001693160202169,0.0005306971274857
2015-09-27,0.6885914468320353,6.99767734445781e-05,0.0001693160202169,0.0005157587486892
2015-09-28,0.6818329748201337,7.025570320634246e-05,0.0001693160202169,0.0005760126433353
2015-09-29,0.6859448059852084,7.05581616108069e-05,0.0001693160202169,0.0005528452903288
2015-09-30,0.6806606864432982,7.086987315810044e-05,0.0001693160202169,0.0005469284292092
2015-10-01,0.6755790982016843,7.115820295225248e-05,0.000176008601751,0.0005609798044163
2015-10-02,0.6902861265471553,7.143338264060315e-05,0.000182701183285,0.0005585640155816
2015-10-03,0.6875137096035955,7.170493551938219e-05,0.000182701183285,0.0005721246589326
2015-10-04,0.6847412926600358,7.199687310882559e-05,0.000182701183285,0.0005676799933811
2015-10-05,0.6819688757164759,7.229222216170603e-05,0.000182701183285,0.0005877236826104
2015-10-06,0.6712631685527819,7.257477073824178e-05,0.000182701183285,0.000641324762347
2015-10-07,0.6811682079206277,7.284203223478103e-05,0.000182701183285,0.0006121272248727
2015-10-08,0.6804777898017966,7.310379177020445e-05,0.000182701183285,0.000605851818471
2015-10-09,0.6828011078403402,7.336245982055809e-05,0.000182701183285,0.0006212054762208
2015-10-10,0.6832089258497643,7.363927042701381e-05,0.000182701183285,0.0006307365889795
2015-10-11,0.6836167438591885,7.393756628725693e-05,0.000182701183285,0.0006506388760132
2015-10-12,0.6840245618686126,7.421621755688976e-05,0.000182701183285,0.0006341999348131
2015-10-13,0.672971904208592,7.448690517306705e-05,0.000182701183285,0.0006738344518612
2015-10-14,0.6745278636742266,7.476958814674309e-05,0.000182701183285,0.0006972471707957
2015-10-15,0.6727534652707192,7.507619662776755e-05,0.0001830209035588,0.0007192444278332
2015-10-16,0.648388245801679,7.537774920164225e-05,0.0001833406238325,0.0007999194202165
2015-10-17,0.6460324451137877,7.564996225848167e-05,0.0001833406238325,0.0008732530179556
2015-10-18,0.6436766444258962,7.592440071610608e-05,0.0001833406238325,0.0007883500711251
2015-10-19,0.641320843738005,7.622136257405353e-05,0.0001833406238325,0.0008052797441812
2015-10-20,0.6294239603257857,7.65102434597972e-05,0.0001833406238325,0.0008621458898906
2015-10-21,0.6313545021592266,7.677489100499114e-05,0.0001833406238325,0.0008320329819912
2015-10-22,0.612865544854929,7.706086788754709e-05,0.0001833406238325,0.0009051776594853
2015-10-23,0.6056235796396259,7.734933941902435e-05,0.0001833406238325,0.000928514781523
2015-10-24,0.5999828540050681,7.764074871423641e-05,0.0001833406238325,0.0009771896794737
2015-10-25,0.5943421283705104,7.793045391969451e-05,0.0001833406238325,0.0009963086386621
