,Global averaged stocks(USD),Currency US Dollar Index,Gold/BTC Ratio,S2F Model,BTC/USD
2015-09-01,0.0171216768882738,0.2688087563431298,0.7192009298071983,6.262466447218767e-05,0.0004720097445361
2015-09-02,0.0262000066669759,0.2836992273146625,0.7116190775381016,6.292307139659772e-05,0.0004829846860273
2015-09-03,0.0263539462724523,0.306426567986803,0.7126244845891623,6.321301159485507e-05,0.0004631579958904
2015-09-04,0.0191708896295187,0.299373265673291,0.7009875857445801,6.350006607622221e-05,0.0004925536692314
2015-09-05,0.0220618162672908,0.2959445230702444,0.6913343274375221,6.378839249234115e-05,0.0005371047204613
2015-09-06,0.0249527429050629,0.2925157804671987,0.6816810691304641,6.406558373491075e-05,0.0005825995089519
2015-09-07,0.0278436695428349,0.2890870378641521,0.6720278108234061,6.434361475894461e-05,0.0005826656022389
2015-09-08,0.0307345961806069,0.285658295261106,0.6623745525163481,6.461626752587274e-05,0.0006181479057306
2015-09-09,0.0241639644715538,0.2907525296281754,0.6665180081771735,6.488649652579406e-05,0.0005668212126331
2015-09-10,0.0267642485370236,0.269200689515384,0.6700822950559121,6.518450852154695e-05,0.0005697372369336
2015-09-11,0.0296373666141805,0.2586208855238237,0.6618904093856552,6.55057636213197e-05,0.0005851191175249
