,Global averaged stocks(USD),Currency US Dollar Index,Volatility_CBOE SKEW Index,Gold/BTC Ratio,BTC Volume,S2F Model,Onchain Hash Rate (GH/s),Onchain Mining Difficulty,BTC/USD
2015-04-20,0.069453979317755,0.3700724856427788,0.1771734401661898,0.7647678039947459,3.710158348423715e-05,2.6997609551742878e-05,0.0001199503310152,6.924802494195993e-05,0.0004793844580644
2015-04-21,0.0694640577866957,0.3710887753031194,0.176984228014348,0.7372706497989424,3.608262900647368e-05,2.724763987435402e-05,0.0001241127468561,6.666667782294674e-05,0.0004924495076002
2015-04-22,0.0695798341366235,0.3592533484891443,0.1779158572399491,0.7309228983062049,3.60597720108804e-05,2.7495883787190705e-05,0.0001245105417966,6.538546860622576e-05,0.0004951310495658
2015-04-23,0.0696937872440502,0.3476753251794491,0.1766719045653924,0.7280151807535442,3.6434334377844685e-05,2.774359787165132e-05,0.0001232375856353,6.443661782619555e-05,0.0004934203946245
2015-04-24,0.0698600216827361,0.3316964444145828,0.1736694654826123,0.733317358408525,3.757020572823127e-05,2.798986973696453e-05,0.0001188368559265,6.432849496688823e-05,0.000482566023425
2015-04-25,0.06992831578158,0.3205899171791272,0.1730640944776387,0.7401680587488102,3.851560628498736e-05,2.823822444197851e-05,0.0001156397977451,6.399188819719276e-05,0.0004790372202819
2015-04-26,0.0698840779017581,0.3162152705168948,0.1746543929130743,0.7476531103439553,3.921455905512168e-05,2.848886870115889e-05,0.0001138466208551,6.33425174218257e-05,0.0004835281310809
2015-04-27,0.069844917734088,0.3039125496459925,0.1784469064132763,0.756317473546967,4.0453004865856165e-05,2.873933768430792e-05,0.0001100555544359,6.335443699500621e-05,0.0004838741205595
2015-04-28,0.069774935194557,0.2856223717503952,0.1855132422993323,0.7743480405713938,4.202945689173666e-05,2.8990443217753702e-05,0.0001051796023626,6.380305945180753e-05,0.0004836239004682
2015-04-29,0.0696626125600215,0.2709445708493649,0.1727987715972385,0.7714392996216182,4.316361031612799e-05,2.924100741619539e-05,0.00010247822012,6.381486104649553e-05,0.0004874680628497
2015-04-30,0.069518635283988,0.2579440396495696,0.1385341933158662,0.722352613075913,4.387829912169891e-05,2.9490689593167407e-05,0.0001018618365584,6.344141373091135e-05,0.0004945302511788
